name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
arch0,csdp,174,13215,0,1,0,1,-0.56652,-0.56652,-0.56652,-0.56652,2.2763e-07,2.2763e-07,2.3881,2.4464,1.0244,4.9286,2.0638
arch0,sdpa,174,13215,0,1,0,1,-0.56652,-0.56652,-0.56658,Inf,Inf,NaN,6.4321,6.3915,0.99368,64.3164,9.9992
arch0,sdpt3,174,13215,0,1,0,1,-0.56652,-0.56652,-0.56652,-0.56652,2.7871e-07,2.7871e-07,2.1621,0.027184,0.012573,2.2195,1.0265
arch0,sedumi,174,13215,0,1,0,1,-0.56652,-0.56652,-0.56652,-0.56651,2.7145e-06,2.7145e-06,2.7272,3.0247,1.1091,2.7316,1.0016
arch2,csdp,174,13215,0,1,0,1,-0.67152,-0.67152,-0.67152,-0.67152,2.3327e-08,2.3327e-08,2.3327,2.39,1.0246,2.433,1.043
arch2,sdpa,174,13215,0,1,0,1,-0.67149,-0.6715,-0.67155,Inf,Inf,NaN,6.3281,6.4032,1.0119,64.2781,10.1575
arch2,sdpt3,174,13215,0,1,0,1,-0.67152,-0.67152,-0.67152,-0.67152,3.5291e-08,3.5291e-08,2.0949,0.028043,0.013386,2.2445,1.0714
arch2,sedumi,174,13215,0,1,0,1,-0.67152,-0.67152,-0.67152,-0.67151,1.2288e-06,1.2288e-06,2.0994,2.1698,1.0335,2.2022,1.049
arch4,csdp,174,13215,0,1,0,1,-0.97263,-0.97263,-0.97263,-0.97263,5.9022e-07,5.9022e-07,2.2303,2.2871,1.0255,2.3202,1.0403
arch4,sdpa,174,13215,0,1,0,1,-0.97263,-0.9726,-0.97272,Inf,Inf,NaN,6.3245,6.3769,1.0083,64.2714,10.1622
arch4,sdpt3,174,13215,0,1,0,1,-0.97263,-0.97263,-0.97263,-0.97263,5.4357e-07,5.4357e-07,1.9329,0.029862,0.015449,2.0795,1.0758
arch4,sedumi,174,13215,0,1,0,1,-0.97263,-0.97263,-0.97263,-0.97262,2.4423e-06,2.4423e-06,2.184,2.2547,1.0324,2.2929,1.0499
arch8,csdp,174,13215,0,1,0,1,-7.057,-7.057,-7.057,-7.057,7.0871e-07,1.0043e-07,2.6548,2.7919,1.0517,2.868,1.0803
arch8,sdpa,174,13215,0,1,0,1,-7.057,-7.0565,-7.0582,Inf,Inf,NaN,6.3997,6.4829,1.013,63.8425,9.9758
