name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
arch8,sdpt3,174,13215,0,1,0,1,-7.057,-7.057,-Inf,Inf,Inf,NaN,2.1352,2.2039,1.0322,2.2643,1.0605
arch8,sedumi,174,13215,0,1,0,1,-7.057,-7.057,-7.057,-7.057,2.5133e-05,3.5615e-06,2.6186,2.6566,1.0145,2.7118,1.0356
control10,csdp,1326,6325,0,0,0,1,-38.533,-38.533,-Inf,Inf,Inf,NaN,36.4783,39.1803,1.0741,33.3197,0.91341
control10,sdpa,1326,6325,0,0,0,1,-38.5339,-38.53,-46.02,Inf,Inf,NaN,90.8224,82.7759,0.9114,131.2632,1.4453
control10,sdpt3,1326,6325,0,0,0,1,-38.5329,-38.5331,-38.5331,Inf,Inf,NaN,38.8143,0.03657,0.00094218,35.0984,0.90426
control10,sedumi,1326,6325,0,0,0,1,-38.5331,-38.5331,-38.5331,-38.5256,0.007529,0.00019541,40.3043,0.03656,0.0009071,37.9614,0.94187
control11,csdp,1596,7645,0,0,0,1,-31.9587,-31.9587,-Inf,Inf,Inf,NaN,51.4709,51.5131,1.0008,59.3117,1.1523
control11,sdpa,1596,7645,0,0,0,1,-31.9568,-31.96,-34.32,Inf,Inf,NaN,130.4646,131.8909,1.0109,182.8225,1.4013
control11,sdpt3,1596,7645,0,0,0,1,-31.9586,-31.9587,-31.9587,Inf,Inf,NaN,47.6714,0.039054,0.00081923,46.3323,0.97191
control11,sedumi,1596,7645,0,0,0,1,-31.9587,-31.9587,-31.9587,-31.954,0.0046761,0.00014633,66.9624,0.039749,0.0005936,67.5361,1.0086
control1,csdp,21,70,0,0,0,1,-17.7846,-17.7846,-17.7846,-17.7846,2.7198e-07,1.5293e-08,0.037803,0.14249,3.7692,0.24754,6.548
control1,sdpa,21,70,0,0,0,1,-17.7845,-17.78,-18,-3.7709,14.2291,1.3072,0.084764,0.25805,3.0443,0.27437,3.2369
control1,sdpt3,21,70,0,0,0,1,-17.7846,-17.7846,-17.7846,-17.7846,2.8142e-07,1.5824e-08,0.9146,0.023563,0.025763,3.9275,4.2943
control1,sedumi,21,70,0,0,0,1,-17.7846,-17.7846,-17.7846,-17.7846,5.2887e-07,2.9738e-08,0.65777,0.024193,0.03678,0.7405,1.1258
control2,csdp,66,265,0,0,0,1,-8.3,-8.3,-8.3,-8.3,4.2785e-07,5.1548e-08,0.12785,0.024346,0.19043,0.42267,3.3061
control2,sdpa,66,265,0,0,0,1,-8.2999,-8.3,-9.267,Inf,Inf,NaN,0.22746,0.57674,2.5356,2.9153,12.8169
control2,sdpt3,66,265,0,0,0,1,-8.3,-8.3,-8.3,Inf,Inf,NaN,1.7934,0.024783,0.013819,1.8775,1.0469
control2,sedumi,66,265,0,0,0,1,-8.3,-8.3,-8.3,-8.3,2.0215e-06,2.4356e-07,0.80885,0.024609,0.030425,1.7058,2.1089
control3,csdp,136,585,0,0,0,1,-13.6333,-13.6333,-Inf,Inf,Inf,NaN,0.40026,0.45598,1.1392,0.46051,1.1505
control3,sdpa,136,585,0,0,0,1,-13.6323,-13.63,-13.74,Inf,Inf,NaN,0.61612,2.0681,3.3566,5.5506,9.009
control3,sdpt3,136,585,0,0,0,1,-13.6333,-13.6333,-13.6333,Inf,Inf,NaN,2.8173,0.025147,0.0089259,2.8911,1.0262
control3,sedumi,136,585,0,0,0,1,-13.6333,-13.6333,-13.6333,-13.6333,1.1024e-05,8.0862e-07,2.653,0.025347,0.009554,5.4025,2.0363
control4,csdp,231,1030,0,0,0,1,-19.7942,-19.7942,-Inf,Inf,Inf,NaN,0.65967,0.8987,1.3623,0.92581,1.4034
control4,sdpa,231,1030,0,0,0,1,-19.7937,-19.79,-22.75,Inf,Inf,NaN,1.5393,1.6218,1.0536,10.1275,6.5793
control4,sdpt3,231,1030,0,0,0,1,-19.7942,-19.7942,-19.7942,Inf,Inf,NaN,4.2894,0.025573,0.0059618,4.2118,0.98191
control4,sedumi,231,1030,0,0,0,1,-19.7942,-19.7942,-19.7942,-19.7942,5.3906e-05,2.7233e-06,2.1955,0.025693,0.011703,2.3042,1.0495
control5,csdp,351,1600,0,0,0,1,-16.8836,-16.8836,-Inf,Inf,Inf,NaN,1.8395,1.8888,1.0268,2.0112,1.0933
control5,sdpa,351,1600,0,0,0,1,-16.8834,-16.88,-18.19,Inf,Inf,NaN,3.5795,3.5702,0.99739,16.6847,4.6612
control5,sdpt3,351,1600,0,0,0,1,-16.8836,-16.8836,-16.8836,Inf,Inf,NaN,6.541,0.026517,0.004054,13.6422,2.0857
control5,sedumi,351,1600,0,0,0,1,-16.8836,-16.8836,-16.8836,-16.8831,0.00050683,3.0019e-05,4.1787,0.026692,0.0063876,8.5327,2.0419
control6,csdp,496,2295,0,0,0,1,-37.3044,-37.3044,-Inf,Inf,Inf,NaN,3.2545,3.3273,1.0223,3.3139,1.0182
control6,sdpa,496,2295,0,0,0,1,-37.3037,-37.3,-42.05,Inf,Inf,NaN,8.3452,15.5791,1.8668,25.6086,3.0687
control6,sdpt3,496,2295,0,0,0,1,-37.3044,-37.3044,-37.3044,Inf,Inf,NaN,9.3297,0.028159,0.0030182,9.3906,1.0065
control6,sedumi,496,2295,0,0,0,1,-37.3045,-37.3045,-37.3045,-37.2198,0.084702,0.0022731,5.6182,0.027535,0.004901,12.3013,2.1895
control7,csdp,666,3115,0,0,0,1,-20.6251,-20.6251,-Inf,Inf,Inf,NaN,6.2782,6.3583,1.0128,6.3981,1.0191
control7,sdpa,666,3115,0,0,0,1,-20.6256,-20.63,-20.95,Inf,Inf,NaN,15.3497,15.3669,1.0011,40.5424,2.6412
control7,sdpt3,666,3115,0,0,0,1,-20.6251,-20.6251,-20.6251,Inf,Inf,NaN,13.1315,0.029532,0.0022489,13.1035,0.99787
control7,sedumi,666,3115,0,0,0,1,-20.6251,-20.6251,-20.6251,-20.6242,0.00091294,4.4265e-05,8.9156,0.029381,0.0032954,9.0834,1.0188
control8,csdp,861,4060,0,0,0,1,-20.2864,-20.2864,-Inf,Inf,Inf,NaN,11.1371,11.2311,1.0084,11.3423,1.0184
control8,sdpa,861,4060,0,0,0,1,-20.2855,-20.29,-20.77,Inf,Inf,NaN,27.256,26.7373,0.98097,62.1761,2.2812
control8,sdpt3,861,4060,0,0,0,1,-20.2863,-20.2864,-20.2864,Inf,Inf,NaN,19.4818,0.030989,0.0015907,20.1702,1.0353
control8,sedumi,861,4060,0,0,0,1,-20.2864,-20.2864,-20.2864,-20.2851,0.001266,6.2409e-05,14.3197,0.031332,0.002188,14.5098,1.0133
control9,csdp,1081,5130,0,0,0,1,-14.6754,-14.6754,-Inf,Inf,Inf,NaN,21.2232,19.7835,0.93216,19.7947,0.93269
control9,sdpa,1081,5130,0,0,0,1,-14.6753,-14.68,-20.72,Inf,Inf,NaN,45.6518,45.7747,1.0027,86.8987,1.9035
control9,sdpt3,1081,5130,0,0,0,1,-14.6754,-14.6754,-Inf,Inf,Inf,NaN,30.2568,24.5136,0.81018,25.4422,0.84087
control9,sedumi,1081,5130,0,0,0,1,-14.6754,-14.6754,-14.6754,-14.6752,0.00027261,1.8576e-05,23.4349,0.033834,0.0014437,23.6555,1.0094
equalG11,csdp,801,321201,0,0,0,1,-629.1553,-629.1553,-629.1556,-629.1255,0.030169,4.7953e-05,156.7166,162.1521,1.0347,97.4646,0.62192
equalG11,sdpa,801,321201,0,0,0,1,-629.1554,-629.1548,-629.3348,6440.264,7069.5987,2,186.8865,185.5069,0.99262,185.9605,0.99504
equalG11,sdpt3,801,321201,0,0,0,1,-629.1553,-629.1553,-629.1554,-628.8771,0.27828,0.0004424,17.9465,20.1376,1.1221,82.2142,4.5811
equalG11,sedumi,801,321201,0,0,0,1,-629.1534,-629.0869,-630.2808,-563.0747,67.2062,0.11263,71.8984,93.0103,1.2936,329.6103,4.5844
equalG51,csdp,1001,501501,0,0,0,1,-4005.6013,-4005.6013,-4005.6022,-4005.5275,0.074756,1.8663e-05,331.0503,336.6957,1.0171,191.2013,0.57756
equalG51,sdpa,1001,501501,0,0,0,1,-4005.6019,-4005.642,-4006.408,30983.7965,34990.2045,2,319.5596,323.8331,1.0134,334.7291,1.0475
equalG51,sdpt3,1001,501501,0,0,0,1,-4005.6013,-4005.6013,-4005.6024,Inf,Inf,NaN,29.9283,34.0058,1.1362,65.1276,2.1761
equalG51,sedumi,1001,501501,0,0,0,1,-4005.5989,-4005.5969,-4005.6567,-4005.5726,0.084054,2.0984e-05,200.3161,196.6496,0.9817,234.5841,1.1711
gpp100,csdp,101,5050,0,0,0,1,44.9436,44.9436,44.9435,Inf,Inf,NaN,0.96409,0.99977,1.037,1.2514,1.298
gpp100,sdpa,101,5050,0,0,0,1,44.9437,44.9427,44.9412,Inf,Inf,NaN,2.3244,2.3368,1.0053,24.999,10.7549
gpp100,sdpt3,101,5050,0,0,0,1,44.9435,44.9435,44.9435,Inf,Inf,NaN,0.72239,0.79526,1.1009,2.9244,4.0482
gpp100,sedumi,101,5050,0,0,0,1,44.9435,44.9437,44.9422,Inf,Inf,NaN,0.96104,1.1061,1.151,2.0926,2.1775
gpp124-1,csdp,125,7750,0,0,0,1,7.3431,7.3431,7.3431,Inf,Inf,NaN,1.6,1.8797,1.1748,2.0208,1.2631
gpp124-1,sdpa,125,7750,0,0,0,1,7.3431,7.3434,7.3387,Inf,Inf,NaN,3.5655,3.6126,1.0132,37.6099,10.5482
gpp124-1,sdpt3,125,7750,0,0,0,1,7.3431,7.3431,7.3431,Inf,Inf,NaN,0.97754,1.0554,1.0797,2.2549,2.3067
gpp124-1,sedumi,125,7750,0,0,0,1,7.343,7.3433,7.3413,Inf,Inf,NaN,1.267,1.4194,1.1203,7.8396,6.1876
gpp124-2,csdp,125,7750,0,0,0,1,46.8623,46.8623,46.8623,Inf,Inf,NaN,1.6047,1.7822,1.1107,1.4774,0.92068
gpp124-2,sdpa,125,7750,0,0,0,1,46.8618,46.8623,46.8604,Inf,Inf,NaN,3.5506,3.5709,1.0057,37.8093,10.6488
gpp124-2,sdpt3,125,7750,0,0,0,1,46.8623,46.8623,46.8623,Inf,Inf,NaN,0.89883,0.97664,1.0866,1.1777,1.3103
gpp124-2,sedumi,125,7750,0,0,0,1,46.8624,46.8624,46.8609,Inf,Inf,NaN,1.1784,1.3763,1.168,3.3347,2.83
gpp124-3,csdp,125,7750,0,0,0,1,153.0141,153.0141,153.0141,Inf,Inf,NaN,1.4706,1.6845,1.1454,1.9852,1.3499
gpp124-3,sdpa,125,7750,0,0,0,1,153.0143,153.0147,152.9903,Inf,Inf,NaN,3.5462,3.5374,0.99753,37.8298,10.6678
gpp124-3,sdpt3,125,7750,0,0,0,1,153.0141,153.0141,153.0141,Inf,Inf,NaN,0.85736,0.023597,0.027523,2.2795,2.6587
gpp124-3,sedumi,125,7750,0,0,0,1,153.0141,153.0141,153.0133,Inf,Inf,NaN,1.2297,1.3292,1.0809,4.4168,3.5917
gpp124-4,csdp,125,7750,0,0,0,1,418.9876,418.9876,418.9876,Inf,Inf,NaN,1.6179,1.6821,1.0397,1.9937,1.2322
gpp124-4,sdpa,125,7750,0,0,0,1,418.9877,418.985,418.965,Inf,Inf,NaN,3.5348,3.621,1.0244,37.8985,10.7215
gpp124-4,sdpt3,125,7750,0,0,0,1,418.9876,418.9876,418.9876,Inf,Inf,NaN,0.89385,0.97589,1.0918,1.6667,1.8646
gpp124-4,sedumi,125,7750,0,0,0,1,418.9872,418.9878,418.9808,Inf,Inf,NaN,1.4002,1.3784,0.98437,1.8604,1.3286
gpp250-1,csdp,251,31375,0,0,0,1,15.4449,15.4449,15.4447,Inf,Inf,NaN,7.8984,17.6927,2.24,11.5147,1.4579
gpp250-1,sdpa,251,31375,0,0,0,1,15.445,15.445,15.4415,Inf,Inf,NaN,15.5451,15.2512,0.9811,152.8267,9.8312
gpp250-1,sdpt3,251,31375,0,0,0,1,15.4449,15.4449,15.4449,Inf,Inf,NaN,2.5373,2.6058,1.027,9.8051,3.8644
gpp250-1,sedumi,251,31375,0,0,0,1,15.4449,15.445,15.4436,Inf,Inf,NaN,4.81,4.9234,1.0236,5.7363,1.1926
gpp250-2,csdp,251,31375,0,0,0,1,81.869,81.869,81.8689,Inf,Inf,NaN,7.467,8.5597,1.1463,10.2513,1.3729
gpp250-2,sdpa,251,31375,0,0,0,1,81.8694,81.8676,81.8607,Inf,Inf,NaN,15.0984,14.8215,0.98166,150.5891,9.9738
gpp250-2,sdpt3,251,31375,0,0,0,1,81.869,81.869,81.869,Inf,Inf,NaN,2.4556,2.5471,1.0373,8.4009,3.4211
gpp250-2,sedumi,251,31375,0,0,0,1,81.8692,81.8705,81.8526,Inf,Inf,NaN,4.5312,4.7023,1.0378,19.3662,4.274
gpp250-3,csdp,251,31375,0,0,0,1,303.5393,303.5393,303.5392,Inf,Inf,NaN,9.6132,7.4537,0.77536,17.4212,1.8122
gpp250-3,sdpa,251,31375,0,0,0,1,303.5383,303.5344,303.5138,Inf,Inf,NaN,15.0833,15.1998,1.0077,150.5386,9.9805
gpp250-3,sdpt3,251,31375,0,0,0,1,303.5393,303.5393,303.5393,Inf,Inf,NaN,2.3673,2.5331,1.07,2.648,1.1186
gpp250-3,sedumi,251,31375,0,0,0,1,303.5393,303.5402,303.5275,Inf,Inf,NaN,5.3524,5.4387,1.0161,10.2716,1.919
gpp250-4,csdp,251,31375,0,0,0,1,747.3283,747.3283,747.3282,Inf,Inf,NaN,8.6256,8.1954,0.95012,9.4123,1.0912
gpp250-4,sdpa,251,31375,0,0,0,1,747.3303,747.328,747.226,Inf,Inf,NaN,15.0139,14.8423,0.98857,150.6741,10.0357
gpp250-4,sdpt3,251,31375,0,0,0,1,747.3283,747.3283,747.3283,Inf,Inf,NaN,2.2945,2.455,1.07,7.6407,3.3301
gpp250-4,sedumi,251,31375,0,0,0,1,747.3286,747.3287,747.3193,Inf,Inf,NaN,4.9256,5.0971,1.0348,6.1271,1.2439
gpp500-1,csdp,501,125250,0,0,0,1,25.3205,25.3205,25.3204,Inf,Inf,NaN,54.4532,85.3058,1.5666,73.9271,1.3576
gpp500-1,sdpa,501,125250,0,0,0,1,25.3206,25.3204,25.316,Inf,Inf,NaN,71.4358,66.967,0.93744,616.7872,8.6342
gpp500-1,sdpt3,501,125250,0,0,0,1,25.3205,25.3205,-Inf,Inf,Inf,NaN,7.4778,8.1557,1.0907,8.0524,1.0768
gpp500-1,sedumi,501,125250,0,0,0,1,25.3206,25.3208,25.2984,Inf,Inf,NaN,29.8324,61.8634,2.0737,36.4902,1.2232
gpp500-2,csdp,501,125250,0,0,0,1,156.0604,156.0604,156.06,Inf,Inf,NaN,48.5154,40.3845,0.83241,79.0015,1.6284
gpp500-2,sdpa,501,125250,0,0,0,1,156.061,156.0607,156.0096,Inf,Inf,NaN,65.6072,71.1941,1.0852,627.8361,9.5696
gpp500-2,sdpt3,501,125250,0,0,0,1,156.0604,156.0604,-Inf,Inf,Inf,NaN,6.9866,7.6837,1.0998,39.546,5.6602
gpp500-2,sedumi,501,125250,0,0,0,1,156.0607,156.0657,155.997,Inf,Inf,NaN,29.6197,33.1557,1.1194,39.2641,1.3256
gpp500-3,csdp,501,125250,0,0,0,1,513.0176,513.0176,513.0173,Inf,Inf,NaN,39.2498,40.8517,1.0408,57.0342,1.4531
gpp500-3,sdpa,501,125250,0,0,0,1,513.0178,513.0189,512.8538,Inf,Inf,NaN,68.1484,65.5355,0.96166,636.8813,9.3455
gpp500-3,sdpt3,501,125250,0,0,0,1,513.0176,513.0176,513.0175,Inf,Inf,NaN,6.9889,7.666,1.0969,29.8739,4.2745
gpp500-3,sedumi,501,125250,0,0,0,1,513.0182,513.0182,513.0075,Inf,Inf,NaN,28.0299,28.6431,1.0219,39.9062,1.4237
gpp500-4,csdp,501,125250,0,0,0,1,1567.0188,1567.0188,1567.0184,Inf,Inf,NaN,40.7113,39.7396,0.97613,62.6853,1.5398
gpp500-4,sdpa,501,125250,0,0,0,1,1567.0193,1567.0078,1566.9226,Inf,Inf,NaN,64.9628,66.3623,1.0215,619.1852,9.5314
gpp500-4,sdpt3,501,125250,0,0,0,1,1567.0188,1567.0188,1567.0187,Inf,Inf,NaN,7.1628,7.8723,1.0991,32.9069,4.5941
gpp500-4,sedumi,501,125250,0,0,0,1,1567.0194,1567.0229,1566.9592,Inf,Inf,NaN,28.0421,27.9879,0.99807,57.7362,2.0589
hinf10,csdp,21,66,0,0,0,1,-108.8006,-108.7562,-Inf,Inf,Inf,NaN,0.068083,0.16186,2.3774,0.16613,2.44
hinf10,sdpa,21,66,0,0,0,1,-108.8958,-108.8,-Inf,Inf,Inf,NaN,0.074668,1.4193,19.0079,1.5248,20.4206
hinf10,sdpt3,21,66,0,0,0,1,-108.7971,-108.7649,-108.7649,Inf,Inf,NaN,1.9526,0.033152,0.016978,2.3349,1.1958
hinf10,sedumi,21,66,0,0,0,1,-108.7801,-108.7719,-108.7719,Inf,Inf,NaN,1.4609,0.033557,0.02297,0.67626,0.46291
hinf11,csdp,31,97,0,0,0,1,-65.8965,-65.8793,-Inf,Inf,Inf,NaN,0.10155,0.1653,1.6277,0.16793,1.6536
hinf11,sdpa,31,97,0,0,0,1,-65.8924,-65.91,-625.7,Inf,Inf,NaN,0.1031,1.1267,10.9286,1.806,17.5166
hinf11,sdpt3,31,97,0,0,0,1,-65.8956,-65.9057,-65.9057,Inf,Inf,NaN,2.0129,0.034609,0.017193,2.8584,1.42
hinf11,sedumi,31,97,0,0,0,1,-65.884,-65.8792,-65.8792,Inf,Inf,NaN,2.4323,0.033513,0.013778,1.3565,0.55771
hinf12,csdp,43,120,0,0,0,1,-1.5939e-05,-7.9678e-06,-0.017689,Inf,Inf,NaN,0.10635,0.19753,1.8573,0.17079,1.6059
hinf12,sdpa,43,120,0,0,0,1,-26.2857,-3.215,-Inf,Inf,Inf,NaN,0.12256,1.978,16.1384,2.0533,16.7529
hinf12,sdpt3,43,120,0,0,0,1,-4.5828e-05,-3.7793e-05,-0.003478,Inf,Inf,NaN,5.9289,5.4364,0.91693,6.1011,1.0291
hinf12,sedumi,43,120,0,0,0,1,-0.11793,-0.099067,-0.099067,Inf,Inf,NaN,0.85508,0.034256,0.040062,0.82882,0.96929
hinf13,csdp,57,178,0,0,0,1,-45.2592,-44.7903,-Inf,Inf,Inf,NaN,0.13925,0.19205,1.3792,0.1848,1.3272
hinf13,sdpa,57,178,0,0,0,1,-48.7975,-47.28,-Inf,Inf,Inf,NaN,0.16541,2.4269,14.6723,2.5412,15.3633
hinf13,sdpt3,57,178,0,0,0,1,-44.366,-44.3548,-Inf,Inf,Inf,NaN,3.8202,3.1859,0.83395,3.8958,1.0198
hinf13,sedumi,57,178,0,0,0,1,-45.0332,-44.6989,-45.5311,Inf,Inf,NaN,1.8543,1.8757,1.0115,1.7087,0.92149
hinf14,csdp,73,227,0,0,0,1,-12.9967,-12.9933,-Inf,Inf,Inf,NaN,0.17007,0.22408,1.3176,0.22866,1.3445
hinf14,sdpa,73,227,0,0,0,1,-12.9879,-12.99,-Inf,Inf,Inf,NaN,0.21353,2.9121,13.6377,3.0633,14.3458
hinf14,sdpt3,73,227,0,0,0,1,-12.9903,-12.9946,-12.9946,Inf,Inf,NaN,2.8803,0.033935,0.011782,4.3107,1.4966
hinf14,sedumi,73,227,0,0,0,1,-12.9945,-12.9939,-12.9939,Inf,Inf,NaN,3.7868,0.033821,0.0089313,3.8501,1.0167
hinf15,csdp,91,273,0,0,0,1,-25.1355,-24.5244,-Inf,Inf,Inf,NaN,0.2205,0.275,1.2472,0.27223,1.2346
hinf15,sdpa,91,273,0,0,0,1,-27.6065,-26.6,-14530,Inf,Inf,NaN,0.25764,0.65762,2.5525,3.5112,13.6283
hinf15,sdpt3,91,273,0,0,0,1,-24.019,-24.0033,-24.0033,Inf,Inf,NaN,5.4684,0.034095,0.0062349,4.9366,0.90275
hinf15,sedumi,91,273,0,0,0,1,-25.1468,-24.9636,-25.4791,Inf,Inf,NaN,1.8002,2.3472,1.3039,0.85873,0.47703
hinf1,csdp,13,41,0,0,0,1,-2.0327,-2.0326,-2.0326,Inf,Inf,NaN,0.03491,0.17325,4.9629,0.43456,12.4479
hinf1,sdpa,13,41,0,0,0,1,-2.0327,-2.033,-11.41,Inf,Inf,NaN,0.051747,0.2559,4.9451,1.3141,25.3944
hinf1,sdpt3,13,41,0,0,0,1,-2.0328,-2.0327,-2.0327,Inf,Inf,NaN,1.4631,0.033541,0.022924,3.7667,2.5744
hinf1,sedumi,13,41,0,0,0,1,-2.0328,-2.0327,-2.0327,Inf,Inf,NaN,0.99307,0.033552,0.033786,1.6181,1.6294
hinf2,csdp,13,51,0,0,0,1,-10.9674,-10.9672,-Inf,Inf,Inf,NaN,0.044959,0.14699,3.2695,0.14664,3.2617
hinf2,sdpa,13,51,0,0,0,1,-10.9682,-10.97,-1549,Inf,Inf,NaN,0.057374,0.72767,12.683,1.3616,23.7316
hinf2,sdpt3,13,51,0,0,0,1,-10.9693,-10.9682,-10.9682,Inf,Inf,NaN,0.98726,0.032908,0.033333,1.0594,1.0731
hinf2,sedumi,13,51,0,0,0,1,-10.9672,-10.9672,-10.9675,-10.7345,0.23297,0.02147,0.71373,1.5343,2.1497,4.5807,6.4179
hinf3,csdp,13,51,0,0,0,1,-56.9476,-56.9442,-Inf,Inf,Inf,NaN,0.047584,0.15652,3.2894,0.15001,3.1526
hinf3,sdpa,13,51,0,0,0,1,-56.9488,-56.94,-715.2,Inf,Inf,NaN,0.056347,0.26622,4.7246,1.3602,24.1391
hinf3,sdpt3,13,51,0,0,0,1,-56.9679,-56.9544,-56.9544,Inf,Inf,NaN,1.2944,0.033302,0.025728,1.2399,0.95789
hinf3,sedumi,13,51,0,0,0,1,-56.9423,-56.9389,-56.9573,Inf,Inf,NaN,0.69744,0.79955,1.1464,4.0794,5.8491
hinf4,csdp,13,51,0,0,0,1,-274.7642,-274.764,-274.7641,Inf,Inf,NaN,0.037478,0.17201,4.5895,0.58253,15.5431
hinf4,sdpa,13,51,0,0,0,1,-274.7762,-274.8,-1103,Inf,Inf,NaN,0.057795,0.37815,6.543,1.3969,24.1693
hinf4,sdpt3,13,51,0,0,0,1,-274.7657,-274.7648,-274.7648,Inf,Inf,NaN,1.3923,0.032623,0.02343,4.6263,3.3227
hinf4,sedumi,13,51,0,0,0,1,-274.764,-274.764,-274.764,Inf,Inf,NaN,1.1468,0.03329,0.029028,5.5354,4.8267
hinf5,csdp,13,51,0,0,0,1,-362.4185,-362.2966,-Inf,Inf,Inf,NaN,0.046062,0.15188,3.2973,0.14712,3.1939
hinf5,sdpa,13,51,0,0,0,1,-363.2029,-362.9,-3578,Inf,Inf,NaN,0.05657,0.26474,4.6798,1.3602,24.0452
hinf5,sdpt3,13,51,0,0,0,1,-362.8805,-362.5569,-362.5569,Inf,Inf,NaN,1.1437,0.032775,0.028658,1.4255,1.2465
hinf5,sedumi,13,51,0,0,0,1,-362.1663,-362.0795,-362.8203,Inf,Inf,NaN,0.85192,0.81028,0.95112,3.8609,4.532
hinf6,csdp,13,51,0,0,0,1,-448.9664,-448.9449,-Inf,Inf,Inf,NaN,0.050936,0.15615,3.0656,0.15298,3.0034
hinf6,sdpa,13,51,0,0,0,1,-449.0529,-449,-640.5,Inf,Inf,NaN,0.05788,0.3842,6.6379,1.3826,23.8871
hinf6,sdpt3,13,51,0,0,0,1,-448.9557,-448.9429,-448.9429,Inf,Inf,NaN,1.3528,0.033108,0.024473,2.9877,2.2085
hinf6,sedumi,13,51,0,0,0,1,-448.9445,-448.9394,-448.9734,Inf,Inf,NaN,0.81923,1.3284,1.6215,1.2246,1.4948
hinf7,csdp,13,51,0,0,0,1,-390.8195,-390.785,-Inf,Inf,Inf,NaN,0.047615,0.15019,3.1542,0.14916,3.1326
hinf7,sdpa,13,51,0,0,0,1,-386.3308,-394.1,-Inf,Inf,Inf,NaN,0.055859,1.2535,22.4407,1.3559,24.2737
hinf7,sdpt3,13,51,0,0,0,1,-390.827,-390.8196,-390.8198,Inf,Inf,NaN,1.2151,1.2577,1.035,2.729,2.2458
hinf7,sedumi,13,51,0,0,0,1,-383.5294,-363.8024,-421.0784,Inf,Inf,NaN,0.62802,0.68663,1.0933,5.0516,8.0436
hinf8,csdp,13,51,0,0,0,1,-116.1987,-116.1644,-Inf,Inf,Inf,NaN,0.046634,0.14927,3.2008,0.1436,3.0792
hinf8,sdpa,13,51,0,0,0,1,-116.1874,-116.2,-5520,Inf,Inf,NaN,0.058195,0.83547,14.3563,1.37,23.542
hinf8,sdpt3,13,51,0,0,0,1,-116.1859,-116.166,-Inf,Inf,Inf,NaN,1.4357,1.432,0.99745,1.4551,1.0135
hinf8,sedumi,13,51,0,0,0,1,-116.1364,-116.1125,-116.217,Inf,Inf,NaN,0.81988,1.6061,1.959,0.98433,1.2006
hinf9,csdp,13,51,0,0,0,1,-236.2492,-236.2431,-Inf,-236.2492,Inf,NaN,0.054148,0.15505,2.8635,0.04245,0.78396
hinf9,sdpa,13,51,0,0,0,1,-236.2397,-236.2,-Inf,Inf,Inf,NaN,0.058977,1.2598,21.3607,1.3708,23.2426
