name,m,n,sname,EL2,EL-EL2,EU,mu_EU_EL2,mu_EU_EL,ts,tL2/ts,tL/ts,tU/ts
CH,15018,7811142,mosek,-38.3377,-0.00010687,Inf,NaN,NaN,50513.0251,9.7496e-05,1.1376,1.2331
C,7230,2598370,mosek,-37.7366,-6.215e-05,-37.7366,3.0326e-07,1.9502e-06,6459.2351,0.00020812,0.94825,1.917
F-,20709,12665715,mosek,-99.5975,-0.00035348,Inf,NaN,NaN,115674.2666,8.095e-05,0.89209,1.4902
H2O,27888,19814462,mosek,-76.1562,-0.000261,Inf,NaN,NaN,256284.4253,6.7348e-05,0.99815,1.1374
H2O,27888,19814462,sdpt3,-76.1562,5.2672e-09,-76.1562,9.3883e-09,9.3191e-09,1332226.2298,1.3067e-05,0.91883,1.7852e-05
HF,15018,7811142,mosek,-100.1606,-0.00024213,Inf,NaN,NaN,44933.7302,0.00010947,1.0487,1.3243
NH,15018,7811142,mosek,-54.9649,-1.4063e-05,-54.9649,8.6263e-08,3.4212e-07,47206.2169,0.00010374,1.0031,1.9887
Ne,7230,2598370,mosek,-128.639,-0.00011674,Inf,NaN,NaN,5718.2798,0.00021638,1.0096,1.263
O2+,7230,2598370,mosek,-148.7955,-9.1599e-05,Inf,NaN,NaN,6065.1041,0.00022779,1.0029,1.5655
