name,m,n,sname,EL2,EL-EL2,EU,mu_EU_EL2,mu_EU_EL,ts,tL2/ts,tL/ts,tU/ts
CO,7230,2569260,sdpt3,-112.4438,-3.8641e-07,-112.4438,5.0092e-08,5.3528e-08,33287.3735,4.4059e-05,0.99088,4.7875e-05
H2O+,1743,296271,mosek,-75.4187,-7.6972e-05,Inf,NaN,NaN,136.6593,0.0015042,0.9847,3.1449
H2O+,1743,296271,sdpt3,-75.4187,1.2132e-07,-75.4187,1.3714e-08,1.2105e-08,626.9133,0.0003252,1.0011,0.00036432
H2O,1743,296271,mosek,-75.7287,-3.0095e-05,Inf,NaN,NaN,127.2706,0.0018198,1.0282,1.4564
H2O,1743,296271,sdpt3,-75.7287,7.8126e-09,-75.7287,7.0548e-09,6.9516e-09,610.4168,0.00033071,0.00078777,0.00055909
H3O+,2964,664922,mosek,-76.1048,-0.00011911,Inf,NaN,NaN,601.2491,0.0006773,1.0344,1.4183
H3O+,2964,664922,sdpt3,-76.1048,8.6913e-08,-76.1048,1.2421e-08,1.1279e-08,2652.7573,0.00015108,0.98955,0.00016065
HF+,948,116692,mosek,-99.1278,-5.3626e-05,Inf,NaN,NaN,21.4249,0.0063615,1.0223,2.5058
HF+,948,116692,sdpt3,-99.1278,1.0689e-09,-99.1278,1.1805e-08,1.1794e-08,120.8469,0.0011065,0.001387,0.0011823
HF,948,116692,mosek,-99.5257,-4.0668e-05,Inf,NaN,NaN,18.8774,0.0072188,0.9999,2.3454
HF,948,116692,sdpt3,-99.5257,4.0436e-09,-99.5257,7.1848e-09,7.1441e-09,102.8919,0.0013366,0.0017477,0.0014582
HS+,7230,2569260,mosek,-396.4986,-0.00018149,Inf,NaN,NaN,5905.6843,0.00022876,1.0012,1.7572
HS+,7230,2569260,sdpt3,-396.4986,1.178e-07,-396.4986,1.9607e-08,1.931e-08,34217.4665,3.894e-05,6.6721e-05,4.5196e-05
Li2,7230,2569260,mosek,-14.8377,-3.9884e-05,Inf,NaN,NaN,7039.6502,0.00019302,1.001,1.4306
Li2,7230,2569260,sdpt3,-14.8376,-1.3079e-07,-14.8376,1.4723e-08,2.3538e-08,34954.8791,4.2837e-05,0.99736,4.5507e-05
LiF,7230,2569260,mosek,-106.444,-0.00019603,Inf,NaN,NaN,6221.4337,0.00021344,0.98716,1.3364
LiF,7230,2569260,sdpt3,-106.444,-2.4385e-06,-106.444,3.3414e-08,5.6323e-08,34121.7871,3.9984e-05,0.99846,4.4842e-05
LiH,948,116692,mosek,-7.9723,-5.1736e-06,Inf,NaN,NaN,25.9189,0.0051354,2.0209,2.7391
LiH,948,116692,sdpt3,-7.9723,6.9655e-11,-7.9723,1.8134e-08,1.8125e-08,130.7048,0.00099365,0.0024988,0.0025791
N2+,7230,2569260,mosek,-108.2245,0.00060096,Inf,NaN,NaN,7593.3985,0.00017974,1.9767,1.045
N2+,7230,2569260,sdpt3,-108.2238,-Inf,-108.2237,4.5288e-07,NaN,34315.6875,3.7504e-05,0.96887,4.709e-05
N2,7230,2569260,mosek,-108.7017,-0.00016491,Inf,NaN,NaN,5852.1075,0.00022163,1.0117,1.4772
N2,7230,2569260,sdpt3,-108.7017,-3.0409e-06,-108.7017,2.7074e-08,5.5049e-08,32961.6831,4.1452e-05,3.021,4.7974e-05
NF,7230,2569260,mosek,-153.2449,-8.9564e-05,Inf,NaN,NaN,6458.5939,0.0002006,0.99769,0.0065286
NF,7230,2569260,sdpt3,-153.2449,2.6465e-07,-153.2449,1.689e-08,1.5163e-08,37465.1886,3.4657e-05,2.019,4.187e-05
NH+,948,116692,mosek,-54.3975,-4.3899e-05,Inf,NaN,NaN,26.8249,0.0050023,1.018,1.2582
NH+,948,116692,sdpt3,-54.3975,6.5403e-09,-54.3975,4.4809e-09,4.3607e-09,123.7717,0.0010749,0.0013525,0.0012238
NH-,948,116692,mosek,-54.5167,-1.932e-05,Inf,NaN,NaN,29.5215,0.004368,1.6606,1.2559
NH-,948,116692,sdpt3,-54.5167,3.4873e-10,-54.5167,1.7161e-08,1.7155e-08,124.3467,0.0010463,0.0013738,0.0011461
NH2,1743,296271,mosek,-55.4157,-3.5087e-05,Inf,NaN,NaN,146.7538,0.0014428,1.8852,1.2853
NH2,1743,296271,sdpt3,-55.4157,7.0948e-08,-55.4157,1.6402e-08,1.5122e-08,630.8864,0.00036255,2.0091,0.00037693
NH3,2964,664922,mosek,-56.0145,-4.8879e-05,Inf,NaN,NaN,665.864,0.00056512,0.99306,1.5298
