name,sname,m,n,K_f,K_l,K_q,K_s,fp,fd,fL,fU,fU-fL,mu_fU_fL,ts,tL,tL/ts,tU,tU/ts
theta6,mosek,4375,45150,0,0,0,1,-63.4771,-63.4771,-63.4771,-63.4771,2.5062e-05,3.9482e-07,13.8427,13.5138,0.97624,12.4578,0.89995
thetaG11,mosek,2401,321201,0,0,0,1,-400,-400,-400,-400,6.1491e-07,1.5373e-09,9.9132,11.8066,1.191,12.0024,1.2108
thetaG51,mosek,6910,501501,0,0,0,1,-349,-349,-349.0005,-348.9984,0.002117,6.0659e-06,76.0829,76.0739,0.99988,129.9417,1.7079
truss1,mosek,6,18,0,1,0,1,9,9,9,9,1.5552e-07,1.728e-08,0.012943,0.071388,5.5156,0.07257,5.6069
truss2,mosek,58,331,0,1,0,1,123.3804,123.3804,123.3804,123.3804,1.0586e-06,8.5799e-09,0.040153,0.34167,8.5092,0.34835,8.6757
truss3,mosek,27,91,0,1,0,1,9.11,9.11,9.11,9.11,3.3684e-08,3.6975e-09,0.019897,0.081468,4.0945,0.089138,4.48
truss4,mosek,12,37,0,1,0,1,9.01,9.01,9.01,9.01,2.3838e-07,2.6457e-08,0.011105,0.071014,6.3948,0.07908,7.1211
truss5,mosek,208,1816,0,1,0,1,132.6357,132.6357,132.6357,132.6357,2.3848e-06,1.798e-08,0.12836,0.43668,3.402,0.44611,3.4755
truss6,mosek,172,901,0,1,0,1,901.0014,901.0014,-Inf,Inf,Inf,NaN,0.21275,0.87121,4.095,3.0757,14.4567
truss7,mosek,86,451,0,1,0,1,900.0014,900.0014,900.0014,900.0028,0.0013708,1.5231e-06,0.095301,0.47604,4.9951,2.941,30.8603
truss8,mosek,496,6271,0,1,0,1,133.1146,133.1146,133.1146,133.1146,1.1139e-05,8.3683e-08,0.63747,0.95378,1.4962,1.0254,1.6085
